,segment_id,time_to_eruption,sensor_1_mean,sensor_1_std,sensor_2_mean,sensor_2_std,sensor_3_mean,sensor_3_std,sensor_4_mean,sensor_4_std,sensor_5_mean,sensor_5_std,sensor_6_mean,sensor_6_std,sensor_7_mean,sensor_7_std,sensor_8_mean,sensor_8_std,sensor_9_mean,sensor_9_std,sensor_10_mean,sensor_10_std,days_to_eruption,class
0,1136037770,12262005,18839.763681777098,71814.6193726699,79794.03806343305,145748.08921351074,28833.99236592311,65160.11978259933,44581.879703142455,82865.34322408657,0.0,0.0,49186.38324349617,163493.21094620222,54631.18206151706,115377.44525590072,58083.81358011544,140575.44455236278,52345.57327490586,74702.58419162048,49209.86587211299,137673.66743581975,1.0,A
1,1969647810,32739612,30404.978084878698,102982.6923272096,68742.43860798705,146640.43398577176,28896.048462801034,83886.47226232567,30526.271395001088,85202.64080533068,29582.449645193043,60427.838946168005,28113.15671020208,83643.89470764039,28416.753451428573,113033.35062289215,29933.74726327223,84245.0697726785,34104.58520264163,93136.96960747972,71044.25961777517,217193.39126550802,4.0,B
2,1895879680,14965999,18382.47206122247,56249.752905690286,89613.0132411751,182899.73015033847,17537.4212857942,50435.488235757955,44777.153392172615,56268.741568793426,0.0,0.0,25850.595037752944,111937.1046241452,14224.053140126565,86120.00611432246,20014.85186755582,83451.01703188644,27638.476061390367,57748.82452647686,40710.21759204278,115653.22588109775,2.0,A
3,2068207140,26469720,16290.547583039235,51876.07617022012,45764.10120296134,93557.32338268898,17044.619942946327,44386.27209103201,24853.0557179457,53167.3318349564,18802.460548557123,36582.14628985052,48776.85643402617,58676.90005815466,31395.06906537413,64420.740211703516,40074.37336260207,67904.63922281827,25061.671514373258,51263.329739609435,44153.73227374198,120394.72082592515,3.0,B
4,192955606,31072429,18969.185025964798,61231.6796442204,0.0,0.0,18090.57245925879,52820.18078202935,23665.943642789047,59809.63803086156,19161.96545236452,42613.12982104488,26373.27813600762,105997.97444172922,17024.966554739993,74658.15908262781,26592.07718785703,97508.15972632387,44452.93917993243,66069.32664748018,46900.50644375436,129624.8512825376,4.0,B
5,1640671020,22264866,24257.567826474795,91254.62969052512,56869.501547159336,117976.83809749955,21862.966907076967,77421.6397798026,28977.82381544993,83759.92438344793,26566.553151411645,52167.76745107956,26935.20936474498,145893.6976811608,19553.19987641565,112906.6921108041,36938.75118793442,161458.0677231546,24594.762615398868,78239.04291755981,59711.07991520888,191423.06459604675,3.0,B
6,288840453,34952168,33235.888168842954,83004.75376466985,65298.68971675925,130689.44516185965,0.0,0.0,30588.812955287267,77591.14064160878,3993.6703215153398,6577.680172292536,55885.17088320163,119673.52885775972,34528.95031146002,90415.12534618351,56474.878641123054,98327.60408152727,31491.498296540307,87429.63145823783,55545.660971377765,173486.55894140087,4.0,B
7,1162441568,9504818,44397.42907824528,173502.89624901695,96338.00575117687,234323.9430086893,47228.9269488287,179434.643473624,52937.71903084545,170973.07657710227,30917.583052774316,71025.72391979679,73737.06467953423,112115.46835707096,65786.13280220395,109578.75107720586,62723.62214786964,135213.10242461908,57451.10549046885,211479.4996506279,80196.13011768478,276035.48669778084,1.0,A
8,1791400073,11719563,10630.587537606452,30706.339296600065,44584.65705959797,85280.36887357614,9069.629855492525,29584.50615482092,11347.974135494936,29958.548602161478,9610.07251660416,20210.509416068602,43764.02839978128,83188.02934780497,9369.202523581322,34523.35366251154,15136.68843111075,35364.98312869127,11716.664982085733,34996.99047794062,22076.95546582429,66829.37872086719,1.0,A
9,2059516238,11629084,24677.16243798316,78013.76042147362,112387.35670132676,247261.9080750067,23748.56322843968,72795.73005621995,33865.22127211637,91986.50897896657,22456.84096318496,49429.212456397225,19069.003612828183,95050.02316580186,17053.260435730783,70898.73167613156,27817.060901692184,116104.3238052761,32228.376014226407,94036.9332041552,51182.15907422231,141418.47216217415,1.0,A
10,591342465,43069893,22797.67656331405,67459.30737133023,56290.69019210334,114000.397949301,19751.807398749894,53037.28977115769,28041.506337937135,58365.68268456306,26761.66223574744,56783.74516866041,33735.943791493926,69340.37225850997,54024.70452345917,86200.23710197659,42914.31995589978,71099.7714713412,28969.488465864317,65424.315027776975,61807.802262295976,249423.2528318257,5.0,C
11,1307215143,40763190,30667.15718616195,105972.8997382092,0.0,0.0,28252.83272241308,97153.22415658813,41297.508084215086,110467.1484506864,23576.527747773416,50723.014343065886,34034.59890429609,151566.9652226089,24628.49203097147,115923.67068537512,44763.34128563271,128337.07105548707,35674.955275669185,110543.61546707813,57750.02894475965,177399.34590053261,5.0,C
12,995888455,529841,24362.21163587638,80490.11375348696,98963.04173066381,260467.6656957341,20560.778272043168,61437.044991663846,25952.3868372287,75040.41303155632,19873.64508385186,51273.702966476085,18975.269768900565,44546.3934305089,14986.018953082756,57591.13514246159,22650.04947094263,50750.07667402896,27010.770872531342,89183.80482004306,51542.551122021614,193634.86060385048,0.0,A
13,874143536,925464,24490.822565859864,55099.458040669815,55372.460786014446,92346.56984758633,46256.919903193164,92517.56284628283,26680.195536062784,64145.11271800807,16660.739965073233,27206.123112812824,140102.27707536507,159900.3161891199,67708.55480165611,111944.88200508992,68923.1212750889,151437.48917363345,25571.83348470401,57913.527943917135,40544.400523961536,98776.48625902762,0.0,A
14,573797974,18448502,42719.64339827112,147918.47798178755,170468.91435062516,374919.6500929346,38470.39587063998,145047.33575700698,53123.22798780244,175264.17202742034,34482.992148600955,80386.49735185957,31257.007014952887,152748.14659298188,26980.38453730478,122895.47937036275,25293.130372849882,83697.36908742136,50707.109748208975,159523.34870240022,77946.53705218033,258940.2678012556,2.0,A
15,661349045,1096562,31664.37089733916,58675.27910905665,63067.94719686952,106472.37837429837,55800.728006953104,95141.09668373727,26104.798746093922,64133.481177984286,18349.6928604846,30446.187793782145,88858.52830795974,147807.80761180472,79763.3472371248,126791.99594572753,68855.82156376074,163375.2512905303,28621.945491064533,61055.74835627228,37894.06639104237,99766.12815275507,0.0,A
16,98049952,16644956,18424.36447202891,54931.837278055486,0.0,0.0,14862.821024212304,45537.29088751227,22872.21034582268,56322.14496757778,20612.07499947501,40514.95282547055,17993.833103348647,49705.34588538797,20460.375503650062,49336.31165211177,0.0,0.0,20120.64340872117,57300.93307433348,44146.37854080009,126975.7940453941,2.0,A
17,139656908,46573581,38698.38904481657,77048.19639093785,141014.75200326732,272967.65526237665,27031.139037773497,78887.4712178295,53713.34628756017,109761.8568113086,0.0,0.0,53786.79514355066,118725.5182823598,54388.60992412788,89318.33661157939,74381.97143657548,121404.72484175005,37047.5168164391,104585.15717163436,49871.11935055852,151178.67756041526,5.0,C
18,260955881,6277972,62264.22972267218,187381.72609091518,125776.46153251901,229885.61725264305,63719.715635448476,159919.05806788465,78098.68376836416,154137.16077287027,59931.974629424774,83030.4365157308,84918.96666129687,259844.2139270152,12485.472267526064,7737.397497148199,24617.02523807829,23863.48143849524,56898.03673299943,184514.7197177052,112190.76650725957,394920.8965595949,1.0,A
19,859183068,10412406,36992.62249442505,140263.74319526544,81161.58728294405,194861.45835943267,42242.783388697935,138196.5178211669,45075.792747834384,132353.80565408664,27551.64189298536,62912.630779145824,68907.82127011474,102540.28814924417,67157.52854849686,128790.49890627465,64689.67519245589,136101.57024678172,54647.165682647385,161287.54781707595,66957.39457251686,227443.6366146309,1.0,A
20,952401993,18193401,23723.305265249594,64538.66618386253,145970.0638261768,198333.92883075774,41709.67924401201,312652.8804413459,57683.67352350571,78732.62846426142,0.0,0.0,68833.60994716009,169466.2361044756,75049.30842551163,116812.07278673984,48510.423623091745,113190.25505866905,63937.99277260295,84117.54888019702,48159.67048300543,116073.14973682455,2.0,A
21,511978994,25418076,22253.900662110245,28076.873928842746,50857.242872890936,84302.51964783782,11662.086413168225,30587.079135730015,21782.376271228488,32016.467277483644,10340.882820069652,20201.682508836464,41078.301243452144,52440.32504014971,20848.47569036117,35761.60625458348,95297.3511561796,80434.70522634324,31991.430189306757,47057.610933904434,20649.76712368721,52219.83008868283,3.0,B
22,1003154738,1891688,20380.42840520973,64385.31331764611,0.0,0.0,0.0,0.0,52731.639071316415,132950.36715485714,21498.36438941285,41316.56692035541,29147.796691385283,120937.24837124928,25904.11830622957,80415.15146780718,0.0,0.0,63304.88779464805,84190.73584430089,50023.30688631367,141891.32144009855,0.0,A
23,1225949488,3600069,44600.39036579075,167744.69116416152,187273.91306599337,460646.335434369,53439.92829307499,191894.36423178093,65758.82565744621,201802.08294395645,26481.66829242765,72503.86858303189,46187.978389833566,109277.45280693234,19960.58107361978,84694.16865354062,28364.494430695122,93769.47646486016,66773.58018169523,222469.07857682122,75024.17212393617,262370.46015758556,0.0,A
24,1581535482,47810569,0.0,0.0,98748.97248798817,211116.7908161472,21503.41120548722,68193.29438192032,28503.49537997424,68735.07073280615,0.0,0.0,31891.736863375987,110098.5865521557,30238.411360428065,73522.98601607923,24972.482523563456,85472.15013512822,25856.8602133614,79746.45245872412,43855.251045992234,132683.34434773907,6.0,C
25,1961905320,23494242,20476.008588685803,85045.46406354076,89337.18484455359,168659.36058462303,17867.290276561183,67975.15433045923,42076.13439661105,70843.97346037162,994.8840033941314,1871.3124224246453,37406.477634121016,160963.13207577277,19276.921378724423,127818.37693740125,23440.00694801816,148365.02395050725,49205.08804784488,69380.86195246383,47532.31941737049,140925.13309026026,3.0,B
26,1798529911,5142989,24538.69857947168,76178.26808363853,0.0,0.0,21074.581854909244,70855.15015474339,40324.73503247689,107102.75804908363,18776.3946516535,38306.951791030326,46164.36722483319,172070.92421408393,68259.5708020771,127766.0151121006,0.0,0.0,30688.16015220627,77787.31440642013,50008.3394588536,160090.15670892186,1.0,A
27,1809144248,4931804,25995.101424180462,330071.41562901344,76746.28699513919,194434.6078254504,27301.545372346547,347404.90413428,30163.82557087998,296642.6930370539,13518.471712708582,48810.273357877166,52812.48351212906,539707.4806730483,32686.32327004747,400094.56145548756,39501.00638272352,610136.8404937913,30899.349328527514,333558.70200905245,41014.834063038135,352614.51104920125,1.0,A
28,1826631403,1846267,91742.99577815896,322897.0031366007,318195.2725447761,693169.5558944469,85759.06127026633,303747.4494246245,125624.41313542749,379890.08324630064,2601.5195308881657,5767.60206166531,68948.7473439016,323561.4331874405,73534.38723208106,274943.8017449613,78570.2190259739,284763.56327393284,114013.72432138493,358557.3741757821,151416.82435318865,496839.9020268319,0.0,A
29,1847054966,34371250,21939.9575803222,76984.79353332044,57061.78046105343,116984.67129515375,20303.177149395426,63425.07609135491,27079.264783484046,64360.131982036444,22410.157745920034,45178.68465100666,34402.56925777518,64128.68405628066,30428.206424512002,89397.07436403717,32353.9568077004,59792.501859461016,26110.918753791957,70946.3554820876,54346.49228951178,170089.51502618357,4.0,B
30,2072789669,17866148,10556.544938773755,24595.258484105143,47332.19100483422,76017.49607210103,10676.413054415483,26473.39482903658,24752.226850966345,49541.20386861051,7811.055370407039,15815.274377829071,39978.1324258353,49435.41283396179,74060.06474082911,93989.39585172686,36745.885168659486,64096.831329067725,20989.868384761216,35611.060860811216,17266.438408398324,49013.23001292928,2.0,A
31,1049342028,20039978,20210.22416686327,75809.82743040366,43326.22460984679,85991.93070596109,20500.85854723064,67734.19823037852,34698.111219056394,65043.575822424005,21487.724981473933,41254.39352437741,23569.820165884503,110858.00427071516,24875.93928999497,91653.29397542344,28675.731827590567,119750.50000816851,20461.34220949288,64145.00556711615,48744.03132528273,163890.29160028615,2.0,A
32,1087653736,15126522,26695.39818220041,74403.42287721043,136883.6521487501,298828.67036846746,25227.30214982304,68815.80845889273,35468.17788420352,94583.47127611756,31641.50991314795,65220.7475194796,32085.833929912973,117619.83335701775,50753.0197464284,82620.62338290151,46837.608090118025,120282.2035278667,36057.90717570085,97679.64275290436,68228.65116988728,167895.93533831055,2.0,A
